U_s,I_s,s,T,Vib,THD,P_f,Brzina,Temp,Klasa
399.939595439111,241.884128537742,0.300315690720318,NaN,0.0129954058373524,0.502032520525583,0.841264726696183,219.812308586509,17573.5826282356,0
399.939595439111,219.848252994916,0.247804806148098,NaN,0.0117136031629111,0.629883490192273,0.76402092225332,236.309089507069,14520.9629019862,0
399.939595439111,214.868179949127,0.236631753488776,NaN,0.0144390130071474,0.640354789050706,0.746554458307247,239.819207522338,13870.6105420874,0
399.939595439111,215.761030473106,0.238616076348404,NaN,0.0132489139273638,0.519672390109146,0.749686201960892,239.195814110522,13987.3748230274,0
399.939595439111,219.122603151267,0.246160840090208,NaN,0.010626623957078,0.697591788319568,0.761476101404327,236.825556676091,14425.1435178867,0
399.939595439111,214.898686247104,0.23669941668863,NaN,0.0118787908560875,0.635246018056451,0.746661463581219,239.79795050118,13876.1605222023,0
399.939595439111,217.549858375413,0.24261642870504,NaN,0.0106673749529215,0.558395350197206,0.755960291600883,237.939066352985,14219.7275647775,0
399.939595439111,215.319900649531,0.237634655400838,NaN,0.0143425759910055,0.540516996174385,0.748138919627678,239.504136594418,13930.300199361,0
399.939595439111,214.714184858703,0.236290337846723,NaN,0.0100011553259971,0.583875929998594,0.746014295946298,239.926466409628,13850.953281326,0
399.939595439111,213.223807161051,0.232998736084173,NaN,0.0143621250948144,0.554766860308854,0.74078636711818,240.960553601205,13660.5200843638,0
399.939595439111,219.035564753148,0.245964018897133,NaN,0.0114214653722816,0.564237690566253,0.761170856550368,236.887389877515,14413.8442196307,0
399.939595439111,213.527320653445,0.233667207406303,NaN,0.014625528224935,0.680751810236396,0.74185105633671,240.750547141731,13699.1855845361,0
399.939595439111,212.998242540827,0.232502558663918,NaN,0.0135963196341121,0.625516361854006,0.739995103830631,241.11643233504,13630.523223407,0
399.939595439111,213.776972832042,0.23421776494888,NaN,0.0102326723203202,0.61498650039938,0.742726795592161,240.577584388617,13731.0232967461,0
399.939595439111,213.514262773901,0.233638428590123,NaN,0.0101131399337795,0.593546852258399,0.741805251148171,240.75958827348,13696.6322704497,0
399.939595439111,213.988613842143,0.234685000379172,NaN,0.0126707143197214,0.684791267145029,0.743469190181251,240.430798049087,13758.0716491625,0
399.939595439111,215.095906522585,0.23713708454242,NaN,0.0107568683291323,0.572789235908149,0.747353238890782,239.660453089762,13900.1739180291,0
399.939595439111,214.008333647911,0.234728558928058,NaN,0.0116798304783428,0.570160418327429,0.743538362982068,240.417113727368,13761.4381169192,0
399.939595439111,214.213526579658,0.235182042259526,NaN,0.0123239900643688,0.597347842325204,0.744258131664854,240.274647737102,13786.4929960113,0
399.939595439111,216.513526462863,0.240294856984564,NaN,0.0133727871281438,0.677278294177659,0.7523255462887,238.668409619167,14085.1024616915,0
399.939595439111,213.413146126743,0.23341563289301,NaN,0.0149195848824824,0.631297586975086,0.741450547388199,240.82958160601,13685.5108616582,0
399.939595439111,216.363864030075,0.239960502010551,NaN,0.013122853517711,0.550030602719596,0.751800619194939,238.773450332172,14065.4529822537,0
399.939595439111,215.84981013052,0.238813835184901,NaN,0.0142491414747964,0.599634063053462,0.749997596926575,239.13368633973,13997.7239964217,0
399.939595439111,215.337203172957,0.237673112024608,NaN,0.0100139521066456,0.524828757444434,0.748199609555374,239.492055089746,13931.3392266854,0
399.939595439111,214.144330883481,0.235029068859827,NaN,0.0125531680256824,0.606832164928684,0.744015410125857,240.322705747971,13778.1087666199,0
399.939595439111,216.104399420997,0.239381390152991,NaN,0.0100177772372661,0.562119290743283,0.750890563101746,238.955383687904,14031.9639196236,0
399.939595439111,230.642770006346,0.272901654757717,NaN,0.0122416969035096,0.627683691633272,0.801868066618098,228.424681985046,15979.3143784005,0
399.939595439111,232.687230083391,0.277790410116354,NaN,0.0141198544361404,0.660677017199381,0.809034452933103,226.888834193057,16264.7084944631,0
399.939595439111,235.669890969293,0.284999985690376,NaN,0.0148534948658806,0.593450351086701,0.819488463187507,224.623879227171,16683.7717408736,0
399.939595439111,249.01293461063,0.318376044277924,NaN,0.0111879944383604,0.515709641270903,0.866236956363899,214.138481180729,18623.8676227818,0
399.939595439111,228.399096622871,0.267586187041461,NaN,0.0123315611031881,0.581165742961252,0.794002735177823,230.094585417823,15671.7472738793,0
399.939595439111,230.456787712312,0.272459070733808,NaN,0.0138264243338791,0.693001061168712,0.801216120312869,228.563723856856,15954.2483679836,0
399.939595439111,227.360927201121,0.265144251597317,NaN,0.0124771620439518,0.683185005090044,0.790363140306231,230.86174206301,15528.2293900802,0
399.939595439111,234.288748801673,0.28165012692401,NaN,0.0114821805300486,0.565199533994335,0.814647812916886,225.67626839627,16488.4819414991,0
399.939595439111,229.254472464451,0.269606522397699,NaN,0.0103448892310543,0.513495360610218,0.797001386401128,229.459878346529,15787.6175126507,0
399.939595439111,226.761934895169,0.263740389689726,NaN,0.0140554420881054,0.689487652525744,0.788263137895423,231.302778288564,15447.7134466063,0
399.939595439111,225.926531760169,0.261788634433765,NaN,0.0149921339467094,0.694049112335504,0.785334223084081,231.915940285938,15334.8142355671,0
399.939595439111,227.565176037388,0.265623797514901,NaN,0.0147923940222656,0.530017315603778,0.791079203565512,230.711088269836,15556.8337215766,0
